date,item_name,category,leftover_qty,waste_kg,waste_cost_inr,day_of_week,is_weekend,is_holiday,weather,staff_count,event_flag
2024-01-02,Fish Amritsari,Starters,22,3.35,837.5,Tuesday,0,0,Cloudy,11,0
2024-01-02,Butter Naan,Breads,8,0.57,68.4,Tuesday,0,0,Cloudy,11,0
2024-01-02,Garlic Naan,Breads,27,1.65,198.0,Tuesday,0,0,Cloudy,11,0
2024-01-02,Tandoori Roti,Breads,8,0.47,56.4,Tuesday,0,0,Cloudy,11,0
2024-01-02,Gulab Jamun,Desserts,4,0.54,151.2,Tuesday,0,0,Cloudy,11,0
2024-01-02,Ras Malai,Desserts,10,1.12,313.6,Tuesday,0,0,Cloudy,11,0
2024-01-02,Kheer,Desserts,8,0.94,263.2,Tuesday,0,0,Cloudy,11,0
2024-01-02,Kulfi,Desserts,15,1.85,518.0,Tuesday,0,0,Cloudy,11,0
2024-01-03,Paneer Butter Masala,Main Course,7,1.74,556.8,Wednesday,0,0,Sunny,9,0
2024-01-03,Dal Makhani,Main Course,12,3.29,1052.8,Wednesday,0,0,Sunny,9,0
2024-01-03,Chicken Biryani,Main Course,10,3.48,1113.6,Wednesday,0,0,Sunny,9,0
2024-01-03,Mutton Rogan Josh,Main Course,12,3.86,1235.2,Wednesday,0,0,Sunny,9,0
2024-01-03,Paneer Tikka,Starters,11,1.89,472.5,Wednesday,0,0,Sunny,9,0
2024-01-03,Chicken Tandoori,Starters,6,0.91,227.5,Wednesday,0,0,Sunny,9,0
2024-01-03,Veg Spring Rolls,Starters,11,1.55,387.5,Wednesday,0,0,Sunny,9,0
2024-01-03,Fish Amritsari,Starters,20,3.63,907.5,Wednesday,0,0,Sunny,9,0
2024-01-03,Butter Naan,Breads,16,0.94,112.8,Wednesday,0,0,Sunny,9,0
2024-01-03,Garlic Naan,Breads,9,0.65,78.0,Wednesday,0,0,Sunny,9,0
2024-01-03,Tandoori Roti,Breads,19,1.17,140.4,Wednesday,0,0,Sunny,9,0
2024-01-03,Gulab Jamun,Desserts,4,0.53,148.4,Wednesday,0,0,Sunny,9,0
2024-01-03,Ras Malai,Desserts,11,1.6,448.0,Wednesday,0,0,Sunny,9,0
2024-01-03,Kheer,Desserts,5,0.54,151.2,Wednesday,0,0,Sunny,9,0
2024-01-03,Kulfi,Desserts,22,3.27,915.6,Wednesday,0,0,Sunny,9,0
2024-01-04,Paneer Butter Masala,Main Course,36,11.64,3724.8,Thursday,0,0,Sunny,9,0
2024-01-04,Dal Makhani,Main Course,6,1.83,585.6,Thursday,0,0,Sunny,9,0
2024-01-04,Chicken Biryani,Main Course,7,2.43,777.6,Thursday,0,0,Sunny,9,0
2024-01-04,Mutton Rogan Josh,Main Course,14,4.17,1334.4,Thursday,0,0,Sunny,9,0
2024-01-04,Paneer Tikka,Starters,14,2.57,642.5,Thursday,0,0,Sunny,9,0
2024-01-04,Chicken Tandoori,Starters,19,2.86,715.0,Thursday,0,0,Sunny,9,0
2024-01-04,Veg Spring Rolls,Starters,5,0.81,202.5,Thursday,0,0,Sunny,9,0
2024-01-04,Fish Amritsari,Starters,21,4.15,1037.5,Thursday,0,0,Sunny,9,0
2024-01-04,Butter Naan,Breads,13,0.83,99.6,Thursday,0,0,Sunny,9,0
2024-01-04,Garlic Naan,Breads,15,1.09,130.8,Thursday,0,0,Sunny,9,0
2024-01-04,Tandoori Roti,Breads,30,2.39,286.8,Thursday,0,0,Sunny,9,0
2024-01-04,Gulab Jamun,Desserts,8,1.11,310.8,Thursday,0,0,Sunny,9,0
2024-01-04,Ras Malai,Desserts,7,0.83,232.4,Thursday,0,0,Sunny,9,0
2024-01-04,Kheer,Desserts,5,0.73,204.4,Thursday,0,0,Sunny,9,0
2024-01-04,Kulfi,Desserts,10,1.37,383.6,Thursday,0,0,Sunny,9,0
2024-01-05,Paneer Butter Masala,Main Course,6,1.68,537.6,Friday,0,0,Cloudy,11,0
2024-01-05,Dal Makhani,Main Course,3,1.01,323.2,Friday,0,0,Cloudy,11,0
2024-01-05,Chicken Biryani,Main Course,7,1.96,627.2,Friday,0,0,Cloudy,11,0
2024-01-05,Mutton Rogan Josh,Main Course,11,3.67,1174.4,Friday,0,0,Cloudy,11,0
2024-01-05,Paneer Tikka,Starters,14,2.08,520.0,Friday,0,0,Cloudy,11,0
2024-01-05,Chicken Tandoori,Starters,4,0.57,142.5,Friday,0,0,Cloudy,11,0
2024-01-05,Veg Spring Rolls,Starters,15,2.33,582.5,Friday,0,0,Cloudy,11,0
2024-01-05,Fish Amritsari,Starters,22,3.16,790.0,Friday,0,0,Cloudy,11,0
2024-01-05,Butter Naan,Breads,16,0.97,116.4,Friday,0,0,Cloudy,11,0
2024-01-05,Garlic Naan,Breads,16,1.15,138.0,Friday,0,0,Cloudy,11,0
2024-01-05,Tandoori Roti,Breads,12,0.84,100.8,Friday,0,0,Cloudy,11,0
2024-01-05,Gulab Jamun,Desserts,14,1.53,428.4,Friday,0,0,Cloudy,11,0
2024-01-05,Ras Malai,Desserts,11,1.24,347.2,Friday,0,0,Cloudy,11,0
2024-01-05,Kheer,Desserts,4,0.48,134.4,Friday,0,0,Cloudy,11,0
2024-01-05,Kulfi,Desserts,17,2.46,688.8,Friday,0,0,Cloudy,11,0
2024-01-06,Paneer Butter Masala,Main Course,7,2.41,771.2,Saturday,1,0,Sunny,12,0
2024-01-06,Dal Makhani,Main Course,14,4.43,1417.6,Saturday,1,0,Sunny,12,0
2024-01-06,Chicken Biryani,Main Course,4,1.24,396.8,Saturday,1,0,Sunny,12,0
2024-01-06,Mutton Rogan Josh,Main Course,32,8.56,2739.2,Saturday,1,0,Sunny,12,0
2024-01-06,Paneer Tikka,Starters,31,4.97,1242.5,Saturday,1,0,Sunny,12,0
2024-01-06,Chicken Tandoori,Starters,20,3.21,802.5,Saturday,1,0,Sunny,12,0
2024-01-06,Veg Spring Rolls,Starters,18,2.9,725.0,Saturday,1,0,Sunny,12,0
2024-01-06,Fish Amritsari,Starters,37,6.4,1600.0,Saturday,1,0,Sunny,12,0
2024-01-06,Butter Naan,Breads,12,0.71,85.2,Saturday,1,0,Sunny,12,0
2024-01-06,Garlic Naan,Breads,21,1.46,175.2,Saturday,1,0,Sunny,12,0
2024-01-06,Tandoori Roti,Breads,18,1.11,133.2,Saturday,1,0,Sunny,12,0
2024-01-06,Gulab Jamun,Desserts,12,1.47,411.6,Saturday,1,0,Sunny,12,0
2024-01-06,Ras Malai,Desserts,19,2.81,786.8,Saturday,1,0,Sunny,12,0
2024-01-06,Kheer,Desserts,14,1.9,532.0,Saturday,1,0,Sunny,12,0
2024-01-06,Kulfi,Desserts,24,3.17,887.6,Saturday,1,0,Sunny,12,0
2024-01-07,Paneer Butter Masala,Main Course,12,3.5,1120.0,Sunday,1,0,Cloudy,14,0
2024-01-07,Dal Makhani,Main Course,22,5.72,1830.4,Sunday,1,0,Cloudy,14,0
2024-01-07,Chicken Biryani,Main Course,14,4.46,1427.2,Sunday,1,0,Cloudy,14,0
2024-01-07,Mutton Rogan Josh,Main Course,17,4.32,1382.4,Sunday,1,0,Cloudy,14,0
2024-01-07,Paneer Tikka,Starters,25,4.72,1180.0,Sunday,1,0,Cloudy,14,0
2024-01-07,Chicken Tandoori,Starters,5,0.81,202.5,Sunday,1,0,Cloudy,14,0
2024-01-07,Veg Spring Rolls,Starters,10,1.65,412.5,Sunday,1,0,Cloudy,14,0
2024-01-07,Fish Amritsari,Starters,72,13.28,3320.0,Sunday,1,0,Cloudy,14,0
2024-01-07,Butter Naan,Breads,9,0.56,67.2,Sunday,1,0,Cloudy,14,0
2024-01-07,Garlic Naan,Breads,25,1.72,206.4,Sunday,1,0,Cloudy,14,0
2024-01-07,Tandoori Roti,Breads,14,0.97,116.4,Sunday,1,0,Cloudy,14,0
2024-01-07,Gulab Jamun,Desserts,21,3.07,859.6,Sunday,1,0,Cloudy,14,0
2024-01-07,Ras Malai,Desserts,9,1.01,282.8,Sunday,1,0,Cloudy,14,0
2024-01-07,Kheer,Desserts,13,1.77,495.6,Sunday,1,0,Cloudy,14,0
2024-01-07,Kulfi,Desserts,11,1.18,330.4,Sunday,1,0,Cloudy,14,0
2024-01-08,Paneer Butter Masala,Main Course,6,1.64,524.8,Monday,0,0,Sunny,11,0
2024-01-08,Dal Makhani,Main Course,15,3.73,1193.6,Monday,0,0,Sunny,11,0
2024-01-08,Chicken Biryani,Main Course,5,1.29,412.8,Monday,0,0,Sunny,11,0
2024-01-08,Mutton Rogan Josh,Main Course,16,5.46,1747.2,Monday,0,0,Sunny,11,0
2024-01-08,Paneer Tikka,Starters,6,0.9,225.0,Monday,0,0,Sunny,11,0
2024-01-08,Chicken Tandoori,Starters,7,1.39,347.5,Monday,0,0,Sunny,11,0
2024-01-08,Veg Spring Rolls,Starters,9,1.71,427.5,Monday,0,0,Sunny,11,0
2024-01-08,Fish Amritsari,Starters,32,4.51,1127.5,Monday,0,0,Sunny,11,0
2024-01-08,Butter Naan,Breads,9,0.7,84.0,Monday,0,0,Sunny,11,0
2024-01-08,Garlic Naan,Breads,12,0.78,93.6,Monday,0,0,Sunny,11,0
2024-01-08,Tandoori Roti,Breads,25,1.56,187.2,Monday,0,0,Sunny,11,0
2024-01-08,Gulab Jamun,Desserts,4,0.43,120.4,Monday,0,0,Sunny,11,0
2024-01-08,Ras Malai,Desserts,15,1.9,532.0,Monday,0,0,Sunny,11,0
2024-01-08,Kheer,Desserts,11,1.63,456.4,Monday,0,0,Sunny,11,0
2024-01-08,Kulfi,Desserts,11,1.36,380.8,Monday,0,0,Sunny,11,0
2024-01-09,Paneer Butter Masala,Main Course,2,0.62,198.4,Tuesday,0,0,Cloudy,9,0
2024-01-09,Dal Makhani,Main Course,19,5.75,1840.0,Tuesday,0,0,Cloudy,9,0
2024-01-09,Chicken Biryani,Main Course,8,2.55,816.0,Tuesday,0,0,Cloudy,9,0
2024-01-09,Mutton Rogan Josh,Main Course,13,3.28,1049.6,Tuesday,0,0,Cloudy,9,0
2024-01-09,Paneer Tikka,Starters,10,1.53,382.5,Tuesday,0,0,Cloudy,9,0
2024-01-09,Chicken Tandoori,Starters,15,2.51,627.5,Tuesday,0,0,Cloudy,9,0
2024-01-09,Veg Spring Rolls,Starters,16,2.41,602.5,Tuesday,0,0,Cloudy,9,0
2024-01-09,Fish Amritsari,Starters,16,3.17,792.5,Tuesday,0,0,Cloudy,9,0
2024-01-09,Butter Naan,Breads,5,0.32,38.4,Tuesday,0,0,Cloudy,9,0
2024-01-09,Garlic Naan,Breads,15,0.97,116.4,Tuesday,0,0,Cloudy,9,0
2024-01-09,Tandoori Roti,Breads,32,2.04,244.8,Tuesday,0,0,Cloudy,9,0
2024-01-09,Gulab Jamun,Desserts,9,1.15,322.0,Tuesday,0,0,Cloudy,9,0
2024-01-09,Ras Malai,Desserts,26,3.61,1010.8,Tuesday,0,0,Cloudy,9,0
2024-01-09,Kheer,Desserts,10,1.27,355.6,Tuesday,0,0,Cloudy,9,0
2024-01-09,Kulfi,Desserts,14,1.49,417.2,Tuesday,0,0,Cloudy,9,0
2024-01-10,Paneer Butter Masala,Main Course,10,3.01,963.2,Wednesday,0,0,Sunny,10,0
2024-01-10,Dal Makhani,Main Course,15,3.71,1187.2,Wednesday,0,0,Sunny,10,0
2024-01-10,Chicken Biryani,Main Course,7,2.37,758.4,Wednesday,0,0,Sunny,10,0
2024-01-10,Mutton Rogan Josh,Main Course,13,3.3,1056.0,Wednesday,0,0,Sunny,10,0
2024-01-10,Paneer Tikka,Starters,12,1.99,497.5,Wednesday,0,0,Sunny,10,0
2024-01-10,Chicken Tandoori,Starters,15,2.68,670.0,Wednesday,0,0,Sunny,10,0
2024-01-10,Veg Spring Rolls,Starters,17,3.0,750.0,Wednesday,0,0,Sunny,10,0
2024-01-10,Fish Amritsari,Starters,27,4.04,1010.0,Wednesday,0,0,Sunny,10,0
2024-01-10,Butter Naan,Breads,14,0.81,97.2,Wednesday,0,0,Sunny,10,0
2024-01-10,Garlic Naan,Breads,20,1.17,140.4,Wednesday,0,0,Sunny,10,0
2024-01-10,Tandoori Roti,Breads,6,0.45,54.0,Wednesday,0,0,Sunny,10,0
2024-01-10,Gulab Jamun,Desserts,13,1.91,534.8,Wednesday,0,0,Sunny,10,0
2024-01-10,Ras Malai,Desserts,8,1.12,313.6,Wednesday,0,0,Sunny,10,0
2024-01-10,Kheer,Desserts,9,1.15,322.0,Wednesday,0,0,Sunny,10,0
2024-01-10,Kulfi,Desserts,11,1.44,403.2,Wednesday,0,0,Sunny,10,0
2024-01-11,Paneer Butter Masala,Main Course,7,2.12,678.4,Thursday,0,0,Sunny,11,0
2024-01-11,Dal Makhani,Main Course,8,2.08,665.6,Thursday,0,0,Sunny,11,0
2024-01-11,Chicken Biryani,Main Course,5,1.64,524.8,Thursday,0,0,Sunny,11,0
2024-01-11,Mutton Rogan Josh,Main Course,12,4.12,1318.4,Thursday,0,0,Sunny,11,0
2024-01-11,Paneer Tikka,Starters,22,4.3,1075.0,Thursday,0,0,Sunny,11,0
2024-01-11,Chicken Tandoori,Starters,21,3.98,995.0,Thursday,0,0,Sunny,11,0
2024-01-11,Veg Spring Rolls,Starters,8,1.21,302.5,Thursday,0,0,Sunny,11,0
2024-01-11,Fish Amritsari,Starters,14,2.45,612.5,Thursday,0,0,Sunny,11,0
2024-01-11,Butter Naan,Breads,7,0.5,60.0,Thursday,0,0,Sunny,11,0
2024-01-11,Garlic Naan,Breads,20,1.29,154.8,Thursday,0,0,Sunny,11,0
2024-01-11,Tandoori Roti,Breads,17,1.05,126.0,Thursday,0,0,Sunny,11,0
2024-01-11,Gulab Jamun,Desserts,11,1.52,425.6,Thursday,0,0,Sunny,11,0
2024-01-11,Ras Malai,Desserts,14,1.78,498.4,Thursday,0,0,Sunny,11,0
2024-01-11,Kheer,Desserts,7,0.97,271.6,Thursday,0,0,Sunny,11,0
2024-01-11,Kulfi,Desserts,17,2.33,652.4,Thursday,0,0,Sunny,11,0
2024-01-12,Paneer Butter Masala,Main Course,3,0.86,275.2,Friday,0,0,Cloudy,9,0
2024-01-12,Dal Makhani,Main Course,19,6.1,1952.0,Friday,0,0,Cloudy,9,0
2024-01-12,Chicken Biryani,Main Course,4,1.09,348.8,Friday,0,0,Cloudy,9,0
2024-01-12,Mutton Rogan Josh,Main Course,11,3.16,1011.2,Friday,0,0,Cloudy,9,0
2024-01-12,Paneer Tikka,Starters,5,0.88,220.0,Friday,0,0,Cloudy,9,0
2024-01-12,Chicken Tandoori,Starters,39,5.7,1425.0,Friday,0,0,Cloudy,9,0
2024-01-12,Veg Spring Rolls,Starters,50,8.73,2182.5,Friday,0,0,Cloudy,9,0
2024-01-12,Fish Amritsari,Starters,19,3.72,930.0,Friday,0,0,Cloudy,9,0
2024-01-12,Butter Naan,Breads,3,0.18,21.6,Friday,0,0,Cloudy,9,0
2024-01-12,Garlic Naan,Breads,9,0.63,75.6,Friday,0,0,Cloudy,9,0
2024-01-12,Tandoori Roti,Breads,30,2.26,271.2,Friday,0,0,Cloudy,9,0
2024-01-12,Gulab Jamun,Desserts,10,1.29,361.2,Friday,0,0,Cloudy,9,0
2024-01-12,Ras Malai,Desserts,12,1.66,464.8,Friday,0,0,Cloudy,9,0
2024-01-12,Kheer,Desserts,11,1.22,341.6,Friday,0,0,Cloudy,9,0
2024-01-12,Kulfi,Desserts,12,1.46,408.8,Friday,0,0,Cloudy,9,0
2024-01-13,Paneer Butter Masala,Main Course,10,3.5,1120.0,Saturday,1,0,Cloudy,12,0
2024-01-13,Dal Makhani,Main Course,14,4.53,1449.6,Saturday,1,0,Cloudy,12,0
2024-01-13,Chicken Biryani,Main Course,11,2.74,876.8,Saturday,1,0,Cloudy,12,0
2024-01-13,Mutton Rogan Josh,Main Course,32,9.36,2995.2,Saturday,1,0,Cloudy,12,0
2024-01-13,Paneer Tikka,Starters,21,3.65,912.5,Saturday,1,0,Cloudy,12,0
2024-01-13,Chicken Tandoori,Starters,23,4.53,1132.5,Saturday,1,0,Cloudy,12,0
2024-01-13,Veg Spring Rolls,Starters,24,3.95,987.5,Saturday,1,0,Cloudy,12,0
2024-01-13,Fish Amritsari,Starters,23,3.26,815.0,Saturday,1,0,Cloudy,12,0
2024-01-13,Butter Naan,Breads,78,5.43,651.6,Saturday,1,0,Cloudy,12,0
2024-01-13,Garlic Naan,Breads,25,1.88,225.6,Saturday,1,0,Cloudy,12,0
2024-01-13,Tandoori Roti,Breads,25,1.98,237.6,Saturday,1,0,Cloudy,12,0
2024-01-13,Gulab Jamun,Desserts,22,2.63,736.4,Saturday,1,0,Cloudy,12,0
2024-01-13,Ras Malai,Desserts,9,1.29,361.2,Saturday,1,0,Cloudy,12,0
2024-01-13,Kheer,Desserts,5,0.68,190.4,Saturday,1,0,Cloudy,12,0
2024-01-13,Kulfi,Desserts,22,2.67,747.6,Saturday,1,0,Cloudy,12,0
2024-01-14,Paneer Butter Masala,Main Course,11,3.6,1152.0,Sunday,1,0,Sunny,13,0
2024-01-14,Dal Makhani,Main Course,13,3.83,1225.6,Sunday,1,0,Sunny,13,0
2024-01-14,Chicken Biryani,Main Course,7,2.23,713.6,Sunday,1,0,Sunny,13,0
2024-01-14,Mutton Rogan Josh,Main Course,20,5.18,1657.6,Sunday,1,0,Sunny,13,0
2024-01-14,Paneer Tikka,Starters,15,2.84,710.0,Sunday,1,0,Sunny,13,0
2024-01-14,Chicken Tandoori,Starters,9,1.3,325.0,Sunday,1,0,Sunny,13,0
2024-01-14,Veg Spring Rolls,Starters,19,2.78,695.0,Sunday,1,0,Sunny,13,0
2024-01-14,Fish Amritsari,Starters,35,5.43,1357.5,Sunday,1,0,Sunny,13,0
2024-01-14,Butter Naan,Breads,13,0.85,102.0,Sunday,1,0,Sunny,13,0
2024-01-14,Garlic Naan,Breads,30,2.37,284.4,Sunday,1,0,Sunny,13,0
2024-01-14,Tandoori Roti,Breads,39,2.25,270.0,Sunday,1,0,Sunny,13,0
2024-01-14,Gulab Jamun,Desserts,16,2.2,616.0,Sunday,1,0,Sunny,13,0
2024-01-14,Ras Malai,Desserts,5,0.74,207.2,Sunday,1,0,Sunny,13,0
2024-01-14,Kheer,Desserts,10,1.29,361.2,Sunday,1,0,Sunny,13,0
2024-01-14,Kulfi,Desserts,12,1.34,375.2,Sunday,1,0,Sunny,13,0
2024-01-15,Paneer Butter Masala,Main Course,5,1.45,464.0,Monday,0,0,Cloudy,9,0
2024-01-15,Dal Makhani,Main Course,6,1.91,611.2,Monday,0,0,Cloudy,9,0
2024-01-15,Chicken Biryani,Main Course,7,2.39,764.8,Monday,0,0,Cloudy,9,0
2024-01-15,Mutton Rogan Josh,Main Course,16,4.83,1545.6,Monday,0,0,Cloudy,9,0
2024-01-15,Paneer Tikka,Starters,10,1.8,450.0,Monday,0,0,Cloudy,9,0
2024-01-15,Chicken Tandoori,Starters,6,1.02,255.0,Monday,0,0,Cloudy,9,0
2024-01-15,Veg Spring Rolls,Starters,4,0.57,142.5,Monday,0,0,Cloudy,9,0
2024-01-15,Fish Amritsari,Starters,30,5.85,1462.5,Monday,0,0,Cloudy,9,0
2024-01-15,Butter Naan,Breads,12,0.95,114.0,Monday,0,0,Cloudy,9,0
2024-01-15,Garlic Naan,Breads,21,1.6,192.0,Monday,0,0,Cloudy,9,0
2024-01-15,Tandoori Roti,Breads,9,0.63,75.6,Monday,0,0,Cloudy,9,0
2024-01-15,Gulab Jamun,Desserts,14,1.91,534.8,Monday,0,0,Cloudy,9,0
2024-01-15,Ras Malai,Desserts,6,0.72,201.6,Monday,0,0,Cloudy,9,0
2024-01-15,Kheer,Desserts,5,0.67,187.6,Monday,0,0,Cloudy,9,0
2024-01-15,Kulfi,Desserts,28,2.94,823.2,Monday,0,0,Cloudy,9,0
2024-01-16,Paneer Butter Masala,Main Course,8,2.3,736.0,Tuesday,0,0,Sunny,9,0
2024-01-16,Dal Makhani,Main Course,10,3.48,1113.6,Tuesday,0,0,Sunny,9,0
2024-01-16,Chicken Biryani,Main Course,7,1.89,604.8,Tuesday,0,0,Sunny,9,0
2024-01-16,Mutton Rogan Josh,Main Course,18,4.85,1552.0,Tuesday,0,0,Sunny,9,0
2024-01-16,Paneer Tikka,Starters,20,3.31,827.5,Tuesday,0,0,Sunny,9,0
2024-01-16,Chicken Tandoori,Starters,9,1.77,442.5,Tuesday,0,0,Sunny,9,0
2024-01-16,Veg Spring Rolls,Starters,23,4.43,1107.5,Tuesday,0,0,Sunny,9,0
2024-01-16,Fish Amritsari,Starters,23,4.59,1147.5,Tuesday,0,0,Sunny,9,0
2024-01-16,Butter Naan,Breads,7,0.48,57.6,Tuesday,0,0,Sunny,9,0
2024-01-16,Garlic Naan,Breads,25,1.51,181.2,Tuesday,0,0,Sunny,9,0
2024-01-16,Tandoori Roti,Breads,25,1.98,237.6,Tuesday,0,0,Sunny,9,0
2024-01-16,Gulab Jamun,Desserts,4,0.45,126.0,Tuesday,0,0,Sunny,9,0
2024-01-16,Ras Malai,Desserts,6,0.67,187.6,Tuesday,0,0,Sunny,9,0
2024-01-16,Kheer,Desserts,12,1.55,434.0,Tuesday,0,0,Sunny,9,0
2024-01-16,Kulfi,Desserts,18,2.11,590.8,Tuesday,0,0,Sunny,9,0
2024-01-17,Paneer Butter Masala,Main Course,10,3.22,1030.4,Wednesday,0,0,Sunny,8,1
2024-01-17,Dal Makhani,Main Course,73,21.69,6940.8,Wednesday,0,0,Sunny,8,1
2024-01-17,Chicken Biryani,Main Course,5,1.67,534.4,Wednesday,0,0,Sunny,8,1
2024-01-17,Mutton Rogan Josh,Main Course,19,5.35,1712.0,Wednesday,0,0,Sunny,8,1
2024-01-17,Paneer Tikka,Starters,15,2.89,722.5,Wednesday,0,0,Sunny,8,1
2024-01-17,Chicken Tandoori,Starters,12,2.3,575.0,Wednesday,0,0,Sunny,8,1
2024-01-17,Veg Spring Rolls,Starters,9,1.63,407.5,Wednesday,0,0,Sunny,8,1
2024-01-17,Fish Amritsari,Starters,36,6.92,1730.0,Wednesday,0,0,Sunny,8,1
2024-01-17,Butter Naan,Breads,17,1.26,151.2,Wednesday,0,0,Sunny,8,1
2024-01-17,Garlic Naan,Breads,11,0.75,90.0,Wednesday,0,0,Sunny,8,1
2024-01-17,Tandoori Roti,Breads,26,2.07,248.4,Wednesday,0,0,Sunny,8,1
2024-01-17,Gulab Jamun,Desserts,16,2.07,579.6,Wednesday,0,0,Sunny,8,1
2024-01-17,Ras Malai,Desserts,18,2.33,652.4,Wednesday,0,0,Sunny,8,1
2024-01-17,Kheer,Desserts,12,1.76,492.8,Wednesday,0,0,Sunny,8,1
2024-01-17,Kulfi,Desserts,12,1.42,397.6,Wednesday,0,0,Sunny,8,1
2024-01-18,Paneer Butter Masala,Main Course,10,3.47,1110.4,Thursday,0,0,Cloudy,8,0
2024-01-18,Dal Makhani,Main Course,8,2.6,832.0,Thursday,0,0,Cloudy,8,0
2024-01-18,Chicken Biryani,Main Course,7,2.28,729.6,Thursday,0,0,Cloudy,8,0
2024-01-18,Mutton Rogan Josh,Main Course,21,6.08,1945.6,Thursday,0,0,Cloudy,8,0
2024-01-18,Paneer Tikka,Starters,20,3.63,907.5,Thursday,0,0,Cloudy,8,0
2024-01-18,Chicken Tandoori,Starters,18,3.23,807.5,Thursday,0,0,Cloudy,8,0
2024-01-18,Veg Spring Rolls,Starters,5,0.83,207.5,Thursday,0,0,Cloudy,8,0
2024-01-18,Fish Amritsari,Starters,22,3.44,860.0,Thursday,0,0,Cloudy,8,0
2024-01-18,Butter Naan,Breads,4,0.24,28.8,Thursday,0,0,Cloudy,8,0
2024-01-18,Garlic Naan,Breads,13,1.0,120.0,Thursday,0,0,Cloudy,8,0
2024-01-18,Tandoori Roti,Breads,6,0.46,55.2,Thursday,0,0,Cloudy,8,0
2024-01-18,Gulab Jamun,Desserts,6,0.84,235.2,Thursday,0,0,Cloudy,8,0
2024-01-18,Ras Malai,Desserts,14,2.05,574.0,Thursday,0,0,Cloudy,8,0
2024-01-18,Kheer,Desserts,5,0.55,154.0,Thursday,0,0,Cloudy,8,0
2024-01-18,Kulfi,Desserts,12,1.53,428.4,Thursday,0,0,Cloudy,8,0
2024-01-19,Paneer Butter Masala,Main Course,34,9.74,3116.8,Friday,0,0,Sunny,12,0
2024-01-19,Dal Makhani,Main Course,9,2.92,934.4,Friday,0,0,Sunny,12,0
2024-01-19,Chicken Biryani,Main Course,4,1.04,332.8,Friday,0,0,Sunny,12,0
2024-01-19,Mutton Rogan Josh,Main Course,21,5.61,1795.2,Friday,0,0,Sunny,12,0
2024-01-19,Paneer Tikka,Starters,8,1.15,287.5,Friday,0,0,Sunny,12,0
2024-01-19,Chicken Tandoori,Starters,6,1.14,285.0,Friday,0,0,Sunny,12,0
2024-01-19,Veg Spring Rolls,Starters,16,2.43,607.5,Friday,0,0,Sunny,12,0
2024-01-19,Fish Amritsari,Starters,33,6.5,1625.0,Friday,0,0,Sunny,12,0
2024-01-19,Butter Naan,Breads,8,0.57,68.4,Friday,0,0,Sunny,12,0
2024-01-19,Garlic Naan,Breads,6,0.43,51.6,Friday,0,0,Sunny,12,0
2024-01-19,Tandoori Roti,Breads,17,1.22,146.4,Friday,0,0,Sunny,12,0
2024-01-19,Gulab Jamun,Desserts,8,1.01,282.8,Friday,0,0,Sunny,12,0
2024-01-19,Ras Malai,Desserts,12,1.65,462.0,Friday,0,0,Sunny,12,0
2024-01-19,Kheer,Desserts,6,0.8,224.0,Friday,0,0,Sunny,12,0
